	mean ra	prevalence	1|sp__ Variance	1|sp__ LRT Pvalue	1|sp__ LRT bh	1|sp Variance	1|sp LRT Pvalue	1|sp LRT bh	1|site_year Variance	1|site_year LRT Pvalue	1|site_year LRT bh	residual Variance	(Intercept) Value	(Intercept) Std.Error	(Intercept) Zscore	(Intercept) Pvalue	days_Since_May1 Value	days_Since_May1 Std.Error	days_Since_May1 Zscore	days_Since_May1 Pvalue	days_Since_May1 bh	log_CBombi Value	log_CBombi Std.Error	log_CBombi Zscore	log_CBombi Pvalue	log_CBombi bh
f__Acetobacteraceae-g__Saccharibacter	0.013212944887796008	0.2335423197492163	2.983e-06	1.0	1.0	0.08675	0.0505988	0.0952448	0.8414	1.455391e-06	2.451184842105263e-06	5.087	-12.0938434	0.4596037	-26.3136	0	0.0311735	0.0054778	5.6909	1.264e-08	4.494222222222222e-08	0.0303834	0.0286311	1.0612	0.2886	0.5277866666666666
f__Xanthomonadaceae-g__Stenotrophomonas	0.01074379065512333	0.2836990595611285	5.539e-07	1.0	1.0	0.1043	0.03268224	0.06536448	4.327	1.291176e-29	1.3772544e-28	3.764	-6.7051173	0.4987978	-13.4426	0	-0.0330914	0.0055034	-6.0129	1.822e-09	8.329142857142857e-09	0.0044457	0.0266051	0.1671	0.8673	0.8952774193548386
f__Rhizobiaceae-g__Agrobacterium	0.009987344693569378	0.23981191222570533	0.03754	0.3118271	0.6652311466666667	0.04506	0.2507226	0.40115616000000004	2.87625	1.417685e-28	8.272938666666667e-28	2.89283	-6.4804872	0.4494366	-14.4191	0	-0.0262491	0.0047838	-5.4871	4.086e-08	1.1886545454545456e-07	-0.0170758	0.0232379	-0.7348	0.4624	0.6433391304347825
f__Bifidobacteriaceae-g__Bombiscardovia	0.008754646338748206	0.5564263322884012	0.9906	2.640968e-08	4.2255488e-07	3.329e-05	1.0	1.0	0.4874	0.002617386	0.0029965577142857143	9.215	-8.797052	0.87201	-10.0882	0	-0.012629	0.006798	-1.8577	0.06321	0.0809088	0.081916	0.037579	2.1798	0.02927	0.15113142857142856
f__Spiroplasmataceae-g__Spiroplasma	0.008351645554971181	0.11128526645768025	2.881e-05	1.0	1.0	0.4497	1.079109e-15	1.7265744e-14	0.163	0.002621988	0.0029965577142857143	3.404	-11.7777552	0.4139284	-28.4536	0	0.0077035	0.004108	1.8752	0.06076	0.0809088	-0.0237875	0.0228035	-1.0432	0.29688	0.5277866666666666
f__Erwiniaceae-g__Pantoea	0.007286609497186431	0.23197492163009403	1.162e-06	1.0	1.0	0.1534	0.01338664	0.030598034285714285	0.7079	4.366071e-19	1.5523808e-18	3.696	-11.9589858	0.4139371	-28.8908	0	0.0222873	0.0047522	4.6899	2.733e-06	6.246857142857142e-06	-0.0091762	0.0247382	-0.3709	0.7107	0.8122285714285714
f__Pseudomonadaceae-g__Pseudomonas	0.0057557032265654435	0.46865203761755486	0.0003671	1.0	1.0	0.4361137	9.246463e-06	4.2269545142857144e-05	4.5996023	3.070006e-30	4.9120096e-29	4.5265508	-8.2132678	0.5751316	-14.2807	0	-0.0083867	0.0060175	-1.3937	0.1634	0.19365925925925925	-0.0090513	0.0293518	-0.3084	0.7578	0.8361931034482759
f__Erwiniaceae-g__Erwinia	0.005627015429619441	0.2727272727272727	0.2316	0.0005069073	0.00324420672	1.959e-05	1.0	1.0	0.5458	6.388768e-06	9.292753454545454e-06	4.336	-10.7224642	0.5272647	-20.336	0	0.013131	0.0049687	2.6428	0.008223	0.013849263157894736	-0.0328318	0.0264114	-1.2431	0.213833	0.4637866666666667
f__Lactobacillaceae-g__Lactobacillus	0.004313918290884464	0.4106583072100313	0.7011	0.1378684	0.33936836923076924	1.4615	6.292219e-05	0.00025168876	0.1507	0.2118961	0.21873145806451613	4.4758	-8.4308285	0.8154012	-10.3395	0	-0.0013267	0.0046275	-0.2867	0.7743	0.7992774193548386	-0.0131673	0.0260356	-0.5057	0.613	0.7731692307692307
f__Bifidobacteriaceae-g__Bifidobacterium	0.004304230842744045	0.3981191222570533	0.6431	0.1261729	0.3364610666666667	1.1098	0.000929563	0.003305112888888889	0.4259	6.126019e-06	9.292753454545454e-06	4.8423	-10.4206892	0.7908939	-13.1758	0	0.0286434	0.0051346	5.5785	2.426e-08	7.7632e-08	-0.0343291	0.0278286	-1.2336	0.2174	0.4637866666666667
f__Chloroplast-g__Chloroplast	0.0039341212268318	0.47492163009404387	2.896e-07	1.0	1.0	0.217	0.003039894	0.008843328	0.7399	5.615526e-06	8.984841600000001e-06	5.367	-7.1401892	0.4849067	-14.7249	0	-0.0380451	0.0055642	-6.8375	8.059e-12	5.15776e-11	0.0461461	0.0294235	1.5683	0.1168	0.31146666666666667
f__Acetobacteraceae-g__Neokomagataea	0.003229496343536303	0.18025078369905956	1.871e-05	1.0	1.0	0.1193	0.001417828	0.004537049600000001	0.3968	5.357594e-11	1.4286917333333334e-10	3.016	-11.711187	0.361712	-32.3771	0	0.017095	0.004154	4.1154	3.865e-05	7.73e-05	0.046921	0.022014	2.1314	0.03306	0.15113142857142856
f__Alcaligenaceae-g__Achromobacter	0.0030636704024112125	0.19592476489028213	7.796e-05	1.0	1.0	0.1277	0.006163921	0.015172728615384616	4.066	2.54454e-36	8.142528e-35	2.953	-8.5596859	0.4607421	-18.578	0	-0.0251715	0.0049306	-5.1051	3.305e-07	8.135384615384616e-07	-0.019998	0.0237789	-0.841	0.4003	0.6196363636363637
f__Acetobacteraceae-g__Asaia	0.002865389802672541	0.11442006269592477	0.02825	0.1994521	0.45589051428571425	0.01211	0.3656482	0.5087279304347826	0.06264	0.1142429	0.12185909333333332	2.89562	-13.0495108	0.3264806	-39.9702	0	0.02049	0.0035631	5.7507	8.889e-09	3.5556e-08	0.0167103	0.0202763	0.8241	0.4099	0.6196363636363637
f__Lactobacillaceae-g__Apilactobacillus	0.002818680416074285	0.23510971786833856	3.66e-05	1.0	1.0	0.6783	2.54441e-11	2.7140373333333333e-10	8.758e-06	1.0	1.0	4.538	-11.4753666	0.4663299	-24.6078	0	0.0083848	0.0042739	1.9619	0.04978	0.07240727272727272	-0.0217684	0.025157	-0.8653	0.38687	0.6196363636363637
f__Staskawiczbacteraceae-g__GWA2-37-10	0.0015627035623673449	0.7100313479623824	0.0001748	1.0	1.0	0.6689045	1.169971e-08	9.359768e-08	0.6571709	0.0002154899	0.0002998120347826087	5.2022565	-9.9865293	0.533191	-18.7297	0	0.0061771	0.0054652	1.1303	0.25837	0.29528	0.0492617	0.0290987	1.6929	0.09047	0.26318545454545456
f__Lactobacillaceae-g__Leuconostoc	0.0012009080899216856	0.1206896551724138	2.583e-07	1.0	1.0	0.3973	0.003461803	0.009231474666666666	0.5908	6.28361e-11	1.546734769230769e-10	2.363	-13.2383274	0.3903911	-33.9104	0	0.0273571	0.0039099	6.9968	2.619e-12	2.0952e-11	0.0160605	0.0201737	0.7961	0.426	0.6196363636363637
f__Lactobacillaceae-g__gbxid5846	0.0005297656959892301	0.10815047021943573	1.618e-06	1.0	1.0	0.1732	3.827487e-07	2.44959168e-06	0.1104	0.001310194	0.0017469253333333332	1.878	-12.3074517	0.2944403	-41.7995	0	0.0191549	0.0030896	6.1998	5.653e-10	3.0149333333333333e-09	-0.0437289	0.0170043	-2.5716	0.01012	0.08096
f__Oxalobacteraceae-g__Massilia	0.0004929849632065933	0.19278996865203762	0.2582	7.10462e-05	0.0005683696	2.009e-05	1.0	1.0	1.054	1.814583e-25	7.258332e-25	1.733	-9.3897285	0.4538897	-20.6872	0	-0.0167265	0.0036022	-4.6434	3.427e-06	7.310933333333333e-06	0.007568	0.0178931	0.423	0.6723	0.7968000000000001
f__Propionibacteriaceae-g__Cutibacterium	0.00020866168987561753	0.1833855799373041	0.08178	0.08572891	0.27433251200000003	0.02912	0.2844421	0.43343558095238094	0.61657	6.487559e-16	1.8872898909090908e-15	1.5608	-10.8256476	0.3457574	-31.31	0	-0.0021802	0.0032954	-0.6616	0.50824	0.5608165517241379	0.0306477	0.0166242	1.8436	0.06525	0.2088
f__Cellulomonadaceae-g__Cellulomonas	0.00016811130125467174	0.18495297805642633	0.13643	0.005182057	0.027637637333333336	0.01733	0.3996821	0.5329094666666666	0.48151	2.521737e-10	5.763970285714286e-10	1.67368	-9.8583876	0.3760683	-26.2144	0	-0.0062075	0.003325	-1.8669	0.06191	0.0809088	-0.0351779	0.0170224	-2.0666	0.03878	0.15512
f__Enterobacteriaceae-g__Escherichia			0.08177	0.04510988	0.16039068444444443	0.005579	0.4304577	0.550985856	0.24492	8.058477e-18	2.57871264e-17	0.64136	-10.423562	0.2608514	-39.9598	0	0.0033179	0.0021112	1.5716	0.11605	0.14283076923076923	0.0204015	0.0106833	1.9097	0.05618	0.1997511111111111
p__Pseudomonadota-c__Gammaproteobacteria	0.5600479150047717	1.0	0.3329	9.585114e-08	1.0543625399999999e-06	5.986e-07	1.0	1.0	0.05389	0.01285294	0.01570914888888889	1.57	-1.787198	0.4397421	-4.0642	4.82e-05	0.0092968	0.0027383	3.3951	0.0006859	0.002514966666666667	0.0110384	0.0153876	0.7174	0.4731545	0.5782999444444444
p__Pseudomonadota-c__Betaproteobacteria	0.2765593899367825	0.9952978056426333	0.22	0.2802349	1.0	0.7156	0.001810046	0.0039821012	0.7906	7.003282e-08	1.9259025499999998e-07	4.8133	-1.7784316	0.6332245	-2.8085	0.004977	-0.0082948	0.005383	-1.5409	0.123332	0.22610866666666668	-0.0337548	0.0283305	-1.1915	0.233471	0.366883
p__Pseudomonadota-c__Alphaproteobacteria	0.08046933269580911	0.7915360501567398	0.0007232	1.0	1.0	0.3994033	0.002703004	0.004955507333333334	4.4089007	9.713229e-16	5.3422759500000004e-15	9.6766352	-7.5117148	0.7273332	-10.3277	0	0.0095913	0.008283	1.158	0.2469	0.284207	0.0641952	0.041445	1.5489	0.1214	0.22256666666666666
p__Bacteroidota-c__Flavobacteriia	0.02881842885343223	0.45768025078369906	0.000235	1.0	1.0	2.3546	3.216855e-17	3.5385405000000003e-16	0.25188	0.2083242	0.2083242	10.469312	-10.3497757	0.7886921	-13.1227	0	0.0184598	0.0069412	2.6595	0.007826	0.0215215	-0.1043767	0.039428	-2.6473	0.008114	0.044627
p__Bacillota-c__Bacilli	0.024850189475766164	0.7962382445141066	0.001036	1.0	1.0	1.381747	5.322349e-16	2.92729195e-15	0.675645	0.0009271951	0.0014570208714285715	6.774333	-10.3436265	0.6495944	-15.9232	0	0.0457506	0.0061253	7.4691	8.073e-14	8.8803e-13	-0.0191923	0.0329921	-0.5817	0.5608	0.61688
p__Actinomycetota-c__Actinomycetes	0.013858231030349558	0.8495297805642633	1.281e-07	1.0	1.0	0.0582	0.1814501	0.19959511000000002	0.2473	0.0370352	0.04073872	6.922	-6.5914304	0.4712499	-13.9871	0	0.0028498	0.0056431	0.505	0.6136	0.6136	-0.0027949	0.031583	-0.0885	0.9295	0.9295
p__Mycoplasmatota-c__Mollicutes	0.008358440111071942	0.11598746081504702	2.113e-05	1.0	1.0	0.456	9.628919e-16	3.5306036333333337e-15	0.1653	0.002568482	0.0035316627499999997	3.415	-11.7881305	0.4154889	-28.3717	0	0.0076553	0.0041179	1.859	0.06303	0.138666	-0.0191459	0.0228497	-0.8379	0.40208	0.55286
p__Cyanobacteria-c__Cyanobacteriia	0.003936985541698544	0.47648902821316613	1.247e-05	1.0	1.0	0.2179	0.003533576	0.005552762285714286	0.7533	3.411191e-06	7.5046202000000005e-06	5.336	-7.0884255	0.4847154	-14.6239	0	-0.0386562	0.0055597	-6.9529	3.578e-12	1.9678999999999998e-11	0.0463124	0.0293674	1.577	0.1148	0.22256666666666666
p__Patescibacteria-c__Paceibacteria	0.0015627035623673449	0.7100313479623824	0.0001748	1.0	1.0	0.6689045	1.169971e-08	3.21742025e-08	0.6571709	0.0002154899	0.00039506481666666673	5.2022565	-9.9865293	0.533191	-18.7297	0	0.0061771	0.0054652	1.1303	0.25837	0.284207	0.0492617	0.0290987	1.6929	0.09047	0.22256666666666666
other	0.0014116205563384512	0.5297805642633229	0.004161	1.0	1.0	3.235	0.02613424	0.03194184888888889	82.02	2.619238e-35	2.8811618e-34	120.5	-19.355387	2.634589	-7.3466	2.032e-13	-0.039327	0.030088	-1.3071	0.1911912	0.2628879	0.514799	0.147902	3.4807	0.0005002	0.0055022
p__Bacteroidota-c__Bacteroidia	0.00012676323161255136	0.14890282131661442	8.549e-06	1.0	1.0	0.0586	0.01060096	0.014576319999999999	0.2449	8.733905e-09	3.202431833333334e-08	1.543	-11.7822415	0.261852	-44.9958	0	0.0042755	0.0030188	1.4163	0.15669	0.24622714285714287	0.0292171	0.0158526	1.843	0.06532	0.22256666666666666
